county,percent_pre1950_housing,percent_pre1978_housing,children_1and2_age,total_n,total_percent,capillary_or_venous_less5,capillary_or_venous_5to9,capilary_10to14_total,venous_10to14_total,capilary_15to19_total,venous_15to19_total,capilary_20to44_total,venous_20to44_total,capilary_greater45_total,venous_greater45_total,all_greater5_total,all_greater10_total,all_greater5_percent,all_greater_10_percent
Alcona,12.4,61.5,125,34,27.2,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Alger,29.5,64.1,144,71,49.3,70,1,0,0,0,0,0,0,0,0,1,0,1.4,0
Allegan,23.2,51.1,2962,737,24.9,704,26,4,3,0,0,0,0,0,0,33,3,4.5,0.4
Alpena,25.3,71.6,608,254,41.8,245,8,0,1,0,0,0,0,0,0,9,1,3.5,0.4
Antrim,18.8,52.6,431,166,38.5,164,2,0,0,0,0,0,0,0,0,2,0,1.2,0
Arenac,19.8,58.2,304,136,44.7,133,3,0,0,0,0,0,0,0,0,3,0,2.2,0
Baraga,34,71.7,163,83,50.9,81,2,0,0,0,0,0,0,0,0,2,0,2.4,0
Barry,27.1,57.3,1386,377,27.2,357,15,0,1,1,2,1,0,0,0,20,3,5.3,0.8
Bay,33.9,75.6,2478,1217,49.1,1136,69,1,4,1,3,1,1,0,0,80,8,6.6,0.7
Benzie,18.6,46.3,365,131,35.9,128,2,0,0,0,1,0,0,0,0,3,1,2.3,0.8
Berrien,28.6,72.2,3848,1253,32.6,1199,47,1,3,0,1,0,2,0,0,54,6,4.3,0.5
Branch,30.9,65.3,1205,296,24.6,257,36,2,0,0,0,0,1,0,0,39,1,13.2,0.3
Calhoun,36.1,75.3,3511,1180,33.6,1131,43,0,2,0,0,0,4,0,0,49,6,4.2,0.5
Cass,22.4,59.9,1183,348,29.4,326,19,0,1,0,0,0,1,0,1,22,3,6.3,0.9
Charlevoix,25.3,54.4,510,196,38.4,191,4,1,0,0,0,0,0,0,0,5,0,2.6,0
Cheboygan,20.9,53.5,460,179,38.9,174,5,0,0,0,0,0,0,0,0,5,0,2.8,0
Chippewa,25.1,58.6,745,250,33.6,240,10,0,0,0,0,0,0,0,0,10,0,4,0
Clare,14.5,58.8,692,338,48.8,335,3,0,0,0,0,0,0,0,0,3,0,0.9,0
Clinton,22.5,52.8,1772,374,21.1,366,8,0,0,0,0,0,0,0,0,8,0,2.1,0
Crawford,13.7,55.6,269,82,30.5,79,3,0,0,0,0,0,0,0,0,3,0,3.7,0
Delta,33.3,68,768,351,45.7,335,13,0,1,1,1,0,0,0,0,16,2,4.6,0.6
Dickinson,38.9,71.7,525,270,51.4,262,8,0,0,0,0,0,0,0,0,8,0,3,0
Eaton,20.4,56.4,2463,851,34.6,828,23,0,0,0,0,0,0,0,0,23,0,2.7,0
Emmet,23,48.3,675,216,32,214,1,0,1,0,0,0,0,0,0,2,1,0.9,0.5
Genesee,19.9,68,10815,4393,40.6,4250,129,2,4,0,1,1,5,0,0,142,10,3.2,0.2
Gladwin,12.4,49.5,507,164,32.3,162,2,0,0,0,0,0,0,0,0,2,0,1.2,0
Gogebic,50,76.7,313,140,44.7,136,4,0,0,0,0,0,0,0,0,4,0,2.9,0
Grand Traverse,14.7,43.5,1970,518,26.3,490,28,0,0,0,0,0,0,0,0,28,0,5.4,0
Gratiot,34.7,69.8,875,331,37.8,324,7,0,0,0,0,0,0,0,0,7,0,2.1,0
Hillsdale,36.5,63.2,1126,322,28.6,298,22,2,0,0,0,0,0,0,0,24,0,7.5,0
Houghton,53.4,75.5,853,376,44.1,357,19,0,0,0,0,0,0,0,0,19,0,5.1,0
Huron,31.8,68.9,651,264,40.6,248,15,1,0,0,0,0,0,0,0,16,0,6.1,0
Ingham,24.9,68.2,6439,2852,44.3,2747,99,2,1,1,1,0,1,0,0,105,3,3.7,0.1
Ionia,35.8,63,1678,609,36.3,592,14,0,3,0,0,0,0,0,0,17,3,2.8,0.5
Iosco,12.7,65.6,403,126,31.3,121,3,1,1,0,0,0,0,0,0,5,1,4,0.8
Iron,44.1,72.1,218,110,50.5,109,1,0,0,0,0,0,0,0,0,1,0,0.9,0
Isabella,16.3,48.2,1417,391,27.6,387,4,0,0,0,0,0,0,0,0,4,0,1,0
Jackson,33,67.9,3717,1973,53.1,1798,156,2,10,1,1,0,3,0,1,174,15,8.8,0.8
Kalamazoo,22.5,62.6,6292,2178,34.6,2056,106,4,7,2,2,0,1,0,0,122,10,5.6,0.5
Kalkaska,13.2,49.3,428,109,25.5,108,1,0,0,0,0,0,0,0,0,1,0,0.9,0
Kent,24.8,59.2,17581,8325,47.4,7799,471,10,21,5,9,1,7,0,0,524,37,6.3,0.4
Keweenaw,46.9,77.6,43,18,41.9,17,1,0,0,0,0,0,0,0,0,1,0,5.6,0
Lake,12.5,52.6,233,71,30.5,69,2,0,0,0,0,0,0,0,0,2,0,2.8,0
Lapeer,20.4,52.9,1814,532,29.3,513,13,0,3,0,3,0,0,0,0,19,6,3.6,1.1
Leelanau,17.9,46.5,349,111,31.8,109,2,0,0,0,0,0,0,0,0,2,0,1.8,0
Lenawee,33.6,67.2,2216,1135,51.2,1068,50,9,2,0,4,2,0,0,0,67,6,5.9,0.5
Livingston,11.4,39,3859,822,21.3,811,9,0,1,0,0,0,1,0,0,11,2,1.3,0.2
Luce,23.8,64.3,125,81,64.8,80,1,0,0,0,0,0,0,0,0,1,0,1.2,0
