,"Children Age 1-2 yrs, Insured by Medicare",,,,,,,"Children Ages 3-5, Insured by Medicare",,,,
County,Children Age 1-2 yrs,Children Tested,% Tested,Children with BLL 5- 9 ug/dL,Children with Venous BLL >= 10 ug/dL,% >= 5,% >= 10,Children Tested for Lead Poisoning,Children with BLL 5- 9 ug/dL,Children with Venous BLL >= 10 ug/dL,% >= 5,% >= 10
Alcona,79,36,45.6,1,0,2.8,0,9,0,0,0,0
Alger,69,47,68.1,0,0,0,0,3,0,0,0,0
Allegan,"1,182",504,42.6,18,2,4,0.4,252,6,0,2.4,0
Alpena,290,228,78.6,5,0,2.2,0,30,1,0,3.3,0
Antrim,236,158,66.9,3,0,1.9,0,35,0,0,0,0
Arenac,145,98,67.6,1,0,1,0,26,1,0,3.8,0
Baraga,100,75,75,0,0,0,0,17,0,0,0,0
Barry,533,293,55,6,0,2,0,32,1,0,3.1,0
Bay,"1,071",903,84.3,51,7,6.4,0.8,143,5,1,4.2,0.7
Benzie,148,116,78.4,5,0,4.3,0,39,0,0,0,0
Berrien,"2,112","1,118",52.9,37,9,4.1,0.8,314,7,2,2.9,0.6
Branch,600,253,42.2,16,0,6.3,0,302,12,0,4,0
Calhoun,"1,909",757,39.7,20,6,3.4,0.8,181,12,4,8.8,2.2
Cass,587,328,55.9,9,1,3,0.3,60,4,0,6.7,0
Charlevoix,268,193,72,0,0,0,0,38,2,0,5.3,0
Cheboygan,257,189,73.5,0,0,0,0,43,0,0,0,0
Chippewa,379,180,47.5,2,0,1.1,0,81,1,0,1.2,0
Clare,389,305,78.4,1,0,0.3,0,51,1,0,2,0
Clinton,530,237,44.7,4,0,1.7,0,146,3,0,2.1,0
Crawford,132,69,52.3,5,0,7.2,0,10,1,0,10,0
Delta,384,346,90.1,12,1,3.8,0.3,74,3,0,4.1,0
Dickinson,248,224,90.3,2,0,0.9,0,14,0,0,0,0
Eaton,916,591,64.5,6,0,1,0,294,4,0,1.4,0
Emmet,286,197,68.9,2,0,1,0,36,0,0,0,0
Genesee,"5,913","3,481",58.9,73,9,2.4,0.3,"1,556",29,1,1.9,0.1
Gladwin,243,162,66.7,2,0,1.2,0,62,3,0,4.8,0
Gogebic,173,117,67.6,1,0,0.9,0,32,1,0,3.1,0
Grand Traverse,803,400,49.8,18,0,4.5,0,128,2,0,1.6,0
Gratiot,434,275,63.4,4,0,1.5,0,88,1,0,1.1,0
Hillsdale,532,284,53.4,13,0,4.6,0,181,7,0,3.9,0
