county,percent_pre1950_housing,percent_pre1978_housing,children_under_age6,total_n,total_percent,capillary_or_venous_less5,capillary_or_venous_5to9,capilary_greater10_total,venous_10to19_total,venous_20to44_total,venous_greater45_total,all_greater5_total,all_greater10_total,all_greater5_percent,all_greater_10_percent
Alcona,12.4,61.5,415,51,12.3,50,1,0,0,0,0,1,0,2.0,0.0
Alger,29.5,64.1,461,76,16.5,75,1,0,0,0,0,1,0,1.3,0.0
Allegan,23.2,51.1,9036,1159,12.8,1124,31,2,2,0,0,35,2,3.0,2.0
Alpena,25.3,71.6,1766,302,17.1,295,6,1,0,0,0,7,0,2.3,0.0
Antrim,18.8,52.6,1393,258,18.5,252,5,1,0,0,0,6,0,2.3,0.0
Arenac,19.8,58.2,894,163,18.2,161,2,0,0,0,0,2,0,1.2,0.0
Baraga,34.0,71.7,510,128,25.1,127,1,0,0,0,0,1,0,0.8,0.0
Barry,27.1,57.3,4307,465,10.8,454,10,2,0,0,0,12,0,2.6,0.0
Bay,33.9,75.6,7477,1421,19.0,1350,63,0,7,1,0,71,8,5.0,0.6
Benzie,18.6,46.3,1119,231,20.6,225,6,0,0,0,0,6,0,2.6,0.0
Berrien,28.6,72.2,11779,1728,14.7,1664,52,0,10,2,0,64,12,3.7,0.7
Branch,30.9,65.3,3524,765,21.7,726,35,3,0,1,0,39,1,5.1,0.1
Calhoun,36.1,75.3,10445,1970,18.9,1902,54,3,7,4,0,68,11,3.5,0.6
Cass,22.4,59.9,3615,458,12.7,438,16,3,1,0,0,20,1,4.4,0.2
Charlevoix,25.3,54.4,1655,297,17.9,295,2,0,0,0,0,2,0,0.7,0.0
Cheboygan,20.9,53.5,1462,266,18.2,264,0,2,0,0,0,2,0,0.8,0.0
Chippewa,25.1,58.6,2374,435,18.3,430,5,0,0,0,0,5,0,1.1,0.0
Clare,14.5,58.8,2110,414,19.6,411,3,0,0,0,0,3,0,0.7,0.0
Clinton,22.5,52.8,5279,565,10.7,553,12,0,0,0,0,12,0,2.1,0.0
Crawford,13.7,55.6,775,87,11.2,81,6,0,0,0,0,6,0,6.9,0.0
Delta,33.3,68.0,2441,453,18.6,435,15,2,1,0,0,18,1,4.0,0.2
Dickinson,38.9,71.7,1661,303,18.2,296,4,2,1,0,0,7,1,2.3,0.3
Eaton,20.4,56.4,7375,1132,15.3,1117,13,2,0,0,0,15,0,1.3,0.0
Emmet,23.0,48.3,2080,322,15.5,320,2,0,0,0,0,2,0,0.6,0.0
Genesee,19.9,68.0,32974,7067,21.4,6909,134,13,5,6,0,158,11,2.2,0.2
Gladwin,12.4,49.5,1527,245,16.0,240,5,0,0,0,0,5,0,2.0,0.0
Gogebic,50.0,76.7,869,193,22.2,188,5,0,0,0,0,5,0,2.6,0.0
Grand Traverse,14.7,43.5,6080,1032,17.0,995,30,7,0,0,0,37,0,3.6,0.0
Gratiot,34.7,69.8,2814,475,16.9,468,7,0,0,0,0,7,0,1.5,0.0
Hillsdale,36.5,63.2,3339,788,23.6,762,24,1,1,0,0,26,1,3.3,0.1
Houghton,53.4,75.5,2528,538,21.3,514,23,0,0,1,0,24,1,4.5,0.2
Huron,31.8,68.9,1901,394,20.7,371,22,0,1,0,0,23,1,5.8,0.3
Ingham,24.9,68.2,19293,4702,24.4,4487,208,2,4,1,0,215,5,4.6,0.1
Ionia,35.8,63.0,4937,825,16.7,811,12,1,1,0,0,14,1,1.7,0.1
Iosco,12.7,65.6,1183,146,12.3,142,3,1,0,0,0,4,0,2.7,0.0
Iron,44.1,72.1,579,149,25.7,146,3,0,0,0,0,3,0,2.0,0.0
Isabella,16.3,48.2,4294,731,17.0,723,6,1,0,1,0,8,1,1.1,0.1
Jackson,33.0,67.9,11435,2965,25.9,2777,162,12,13,2,1,190,16,6.4,0.5
Kalamazoo,22.5,62.6,18472,3536,19.1,3411,104,12,10,1,0,127,11,3.6,0.3
Kalkaska,13.2,49.3,1218,223,18.3,219,4,0,0,0,0,4,0,1.8,0.0
Kent,24.8,59.2,52878,10376,19.6,9825,483,15,43,9,1,551,53,5.3,0.5
Keweenaw,46.9,77.6,119,28,23.5,26,2,0,0,0,0,2,0,7.1,0.0
Lake,12.5,52.6,597,121,20.3,120,1,0,0,0,0,1,0,0.8,0.0
Lapeer,20.4,52.9,5814,1052,18.1,1013,38,1,0,0,0,39,0,3.7,0.0
Leelanau,17.9,46.5,1119,213,19.0,206,6,1,0,0,0,7,0,3.3,0.0
Lenawee,33.6,67.2,6995,1512,21.6,1425,72,11,3,1,0,87,4,5.8,0.3
Livingston,11.4,39.0,12406,1106,8.9,1094,11,0,0,1,0,12,1,1.1,0.1
Luce,23.8,64.3,374,73,19.5,71,2,0,0,0,0,2,0,2.7,0.0
Mackinac,23.4,58.6,560,116,20.7,110,6,0,0,0,0,6,0,5.2,0.0
Macomb,9.3,59.1,58786,10093,17.2,9937,130,8,12,6,2,158,20,1.6,0.2
Manistee,28.8,63.9,1324,248,18.7,233,12,1,2,0,0,15,2,6.0,0.8
Marquette,27.9,69.4,4050,514,12.7,494,17,1,2,0,0,20,2,3.9,0.4
Mason,32.1,64.6,1886,362,19.2,323,33,5,2,0,0,40,2,11.0,0.6
Mecosta,18.2,53.4,2644,367,13.9,361,6,0,0,0,0,6,0,1.6,0.0
Menominee,35.4,73.2,1434,262,18.3,252,9,0,1,0,0,10,1,3.8,0.4
Midland,15.2,58.7,5746,501,8.7,493,7,1,0,0,0,8,0,1.6,0.0
Missaukee,21.2,56.2,1120,133,11.9,133,0,0,0,0,0,0,0,0.0,0.0
Monroe,23.0,59.0,10597,1705,16.1,1663,39,3,0,0,0,42,0,2.5,0.0
Montcalm,27.3,57.7,4666,615,13.2,607,8,0,0,0,0,8,0,1.3,0.0
Montmorency,18.1,58.6,424,80,18.9,80,0,0,0,0,0,0,0,0.0,0.0
Muskegon,25.8,66.2,13543,3022,22.3,2877,124,7,12,2,0,145,14,4.8,0.5
Newaygo,19.3,53.6,3686,426,11.6,422,4,0,0,0,0,4,0,0.9,0.0
Oakland,14.7,60.5,83905,14244,17.0,14025,188,8,20,4,1,221,25,1.6,0.2
Oceana,25.8,57.8,2130,515,24.2,498,14,1,2,0,0,17,2,3.3,0.4
Ogemaw,12.8,61.6,1271,96,7.6,94,2,0,0,0,0,2,0,2.1,0.0
Ontonagon,39.1,73.2,280,48,17.1,48,0,0,0,0,0,0,0,0.0,0.0
Osceola,22.6,56.6,1748,362,20.7,350,8,0,1,2,1,12,4,3.3,1.1
Oscoda,17.8,62.1,541,48,8.9,47,1,0,0,0,0,1,0,2.1,0.0
Otsego,12.2,50.3,1654,316,19.1,315,1,0,0,0,0,1,0,0.3,0.0
Ottawa,15.7,45.3,21541,2928,13.6,2836,82,7,3,0,0,92,3,3.1,0.1
"Presque Isle",21.1,66.3,640,121,18.9,121,0,0,0,0,0,0,0,0.0,0.0
Roscommon,13.1,58.7,1159,216,18.6,212,4,0,0,0,0,4,0,1.9,0.0
Saginaw,28.1,73.1,14346,3775,26.3,3646,110,6,12,1,0,129,13,3.4,0.3
St Clair,25.8,59.4,11371,2597,22.8,2477,109,9,3,0,0,121,3,4.7,0.1
St Joseph,27.5,65.1,5155,981,19.0,943,32,4,1,1,0,38,2,3.9,0.2
Sanilac,30.7,64.6,3012,544,18.1,527,16,0,1,0,0,17,1,3.1,0.2
Schoolcraft,25.5,63.3,465,88,18.9,88,0,0,0,0,0,0,0,0.0,0.0
Shiawassee,33.9,68.2,4734,1230,26.0,1184,40,1,3,2,0,46,5,3.7,0.4
Tuscola,30.2,67.4,3772,906,24.0,885,21,0,0,0,0,21,0,2.3,0.0
Van Buren,23.3,58.1,5982,879,14.7,859,15,1,4,0,0,20,4,2.3,0.5
Washtenaw,17.2,56.5,22904,2743,12.0,2696,43,1,2,1,0,47,3,1.7,0.1
Wayne ex Det,22.6,74.5,82994,19466,23.5,18980,408,27,43,11,0,489,54,2.5,0.3
Wexford,23.0,53.7,2588,329,12.7,319,9,1,0,0,0,10,0,3.0,0.0
"Detroit, City of",62.2,93.2,60638,25026,41.3,23030,1583,63,281,62,7,1996,350,8.0,1.4
MICHIGAN,24.7,64.8,720994,147841,20.5,142153,4793,256,517,123,13,5702,653,3.9,0.4
