county,percent_pre1950_housing,percent_pre1978_housing,children_under_age6,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venuous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Alcona,12.4,61.5,398,53,13.3,51,<6,<6,<6,<6,NA,<6,NA
Alger,29.5,64.1,427,92,21.5,90,<6,<6,<6,<6,NA,<6,NA
Allegan,23.2,51.1,8806,1208,13.7,1177,28,<6,<6,<6,NA,31,2.6
Alpena,25.3,71.6,1758,257,14.6,248,8,<6,<6,<6,NA,9,3.5
Antrim,18.8,52.6,1370,260,19,258,<6,<6,<6,<6,NA,<6,NA
Arenac,19.8,58.2,870,186,21.4,185,<6,<6,<6,<6,NA,<6,NA
Baraga,34,71.7,477,135,28.3,134,<6,<6,<6,<6,NA,<6,NA
Barry,27.1,57.3,4143,491,11.9,468,19,<6,<6,<6,NA,23,4.7
Bay,33.9,75.6,7322,1408,19.2,1358,33,13,<6,17,1.2,50,3.6
Benzie,18.6,46.3,1041,268,25.7,266,<6,<6,<6,<6,NA,<6,NA
Berrien,28.6,72.2,11681,1943,16.6,1884,29,25,<6,30,1.5,59,3
Branch,30.9,65.3,3506,668,19.1,645,19,<6,<6,<6,NA,23,3.4
Calhoun,36.1,75.3,10149,2390,23.5,2290,36,58,6,64,2.7,100,4.2
Cass,22.4,59.9,3444,426,12.4,414,8,<6,<6,<6,NA,12,2.8
Charlevoix,25.3,54.4,1624,295,18.2,294,<6,<6,<6,<6,NA,<6,NA
Cheboygan,20.9,53.5,1414,286,20.2,279,6,<6,<6,<6,NA,7,2.4
Chippewa,25.1,58.6,2345,440,18.8,436,<6,<6,<6,<6,NA,<6,NA
Clare,14.5,58.8,2083,446,21.4,442,<6,<6,<6,<6,NA,<6,NA
Clinton,22.5,52.8,5140,585,11.4,579,<6,<6,<6,<6,NA,6,1
Crawford,13.7,55.6,727,85,11.7,84,<6,<6,<6,<6,NA,<6,NA
Delta,33.3,68,2388,413,17.3,397,14,<6,<6,<6,NA,16,3.9
Dickinson,38.9,71.7,1575,318,20.2,317,<6,<6,<6,<6,NA,<6,NA
Eaton,20.4,56.4,7356,1140,15.5,1113,23,<6,<6,<6,NA,27,2.4
Emmet,23,48.3,2042,362,17.7,362,<6,<6,<6,<6,NA,<6,NA
Genesee,19.9,68,31997,6824,21.3,6646,108,65,<6,70,1,178,2.6
Gladwin,12.4,49.5,1495,291,19.5,291,<6,<6,<6,<6,NA,<6,NA
Gogebic,50,76.7,855,154,18,152,<6,<6,<6,<6,NA,<6,NA
Grand Traverse,14.7,43.5,6.00E+03,1371,22.9,1359,9,<6,<6,<6,NA,12,0.9
Gratiot,34.7,69.8,2754,496,18,491,<6,<6,<6,<6,NA,<6,NA
Hillsdale,36.5,63.2,3283,814,24.8,795,16,<6,<6,<6,NA,19,2.3
Houghton,53.4,75.5,2477,599,24.2,585,6,6,<6,8,1.3,14,2.3
Huron,31.8,68.9,1873,393,21,381,9,<6,<6,<6,NA,12,3.1
Ingham,24.9,68.2,19248,4747,24.7,4606,99,36,6,42,0.9,141,3
Ionia,35.8,63,4878,843,17.3,816,22,<6,<6,<6,NA,27,3.2
Iosco,12.7,65.6,1233,150,12.2,146,<6,<6,<6,<6,NA,<6,NA
Iron,44.1,72.1,573,138,24.1,135,<6,<6,<6,<6,NA,<6,NA
Isabella,16.3,48.2,4208,640,15.2,632,7,<6,<6,<6,NA,8,1.3
Jackson,33,67.9,11296,2757,24.4,2602,121,30,<6,34,1.2,155,5.6
Kalamazoo,22.5,62.6,18588,3257,17.5,3172,55,27,<6,30,0.9,85,2.6
