county,percent_pre1950_housing,percent_pre1978_housing,population,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Alcona,15,61.5,134,44,32.8,41,NA,0,0,0,0,NA,NA
Alger,25.7,64.1,137,55,40.1,51,NA,NA,0,NA,NA,NA,NA
Allegan,21,51.1,2656,966,36.4,929,30,NA,NA,7,0.7,37,3.8
Alpena,23.5,71.6,535,218,40.7,216,NA,0,0,0,0,NA,NA
Antrim,17.1,52.6,390,182,46.7,179,NA,0,0,0,0,NA,NA
Arenac,16.9,58.2,226,153,67.7,151,NA,NA,0,NA,NA,NA,NA
Baraga,30.9,71.7,143,98,68.5,98,0,0,0,0,0,0,0
Barry,24.5,57.3,1241,357,28.8,345,NA,NA,NA,NA,NA,12,3.4
Bay,32.1,75.6,2125,1182,55.6,1134,36,NA,NA,12,1,48,4.1
Benzie,17.1,46.3,307,180,58.6,180,0,0,0,0,0,0,0
Berrien,26.5,72.2,3815,1293,33.9,1245,22,NA,NA,26,2,48,3.7
Branch,27.8,65.3,1185,255,21.5,246,NA,NA,0,NA,NA,9,3.5
Calhoun,32.6,75.3,3338,1067,32,1013,17,29,8,37,3.5,54,5.1
Cass,20.3,59.9,961,369,38.4,360,NA,NA,0,NA,NA,9,2.4
Charlevoix,19.8,54.4,487,188,38.6,186,NA,NA,0,NA,NA,NA,NA
Cheboygan,23,53.5,408,175,42.9,175,0,0,0,0,0,0,0
Chippewa,22,58.6,704,230,32.7,225,NA,NA,0,NA,NA,NA,NA
Clare,12,58.8,661,307,46.4,306,0,NA,0,NA,NA,NA,NA
Clinton,22.1,52.8,1690,364,21.5,359,NA,NA,0,NA,NA,NA,NA
Crawford,10.5,55.6,224,70,31.3,69,0,NA,0,NA,NA,NA,NA
Delta,32.4,68,728,341,46.8,323,11,7,0,7,2.1,18,5.3
Dickinson,36.4,71.7,533,180,33.8,180,0,0,0,0,0,0,0
Eaton,20.1,56.4,2305,610,26.5,585,11,14,0,14,2.3,25,4.1
Emmet,22.8,48.3,616,235,38.1,235,0,0,0,0,0,0,0
Genesee,19.9,68,9867,4196,42.5,4090,56,NA,NA,50,1.2,106,2.5
Gladwin,12,49.5,499,215,43.1,213,NA,NA,0,NA,NA,NA,NA
Gogebic,46.4,76.7,237,115,48.5,108,NA,NA,0,NA,NA,7,6.1
Grand Traverse,14.8,43.5,2013,937,46.5,918,13,6,0,6,0.6,19,2
Gratiot,36.5,69.8,818,280,34.2,279,NA,0,0,0,0,NA,NA
Hillsdale,34.5,63.2,1071,361,33.7,348,NA,NA,0,NA,NA,13,3.6
Houghton,50.5,75.5,749,471,62.9,461,0,NA,NA,10,2.1,10,2.1
Huron,28.9,68.9,590,217,36.8,213,NA,0,NA,NA,NA,NA,NA
Ingham,23.9,68.2,6440,2693,41.8,2624,32,NA,NA,37,1.4,69,2.6
Ionia,33.2,63,1492,641,43,620,15,NA,NA,6,0.9,21,3.3
Iosco,17.7,65.6,493,224,45.4,215,NA,NA,NA,NA,NA,9,4
Iron,43.3,72.1,186,79,42.5,78,NA,0,0,0,0,NA,NA
