county,percent_pre1950_housing,percent_pre1978_housing,population,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Alcona,15,61.5,421,51,12.1,48,NA,0,0,0,0,NA,NA
Alger,25.7,64.1,438,66,15.1,62,NA,NA,0,NA,NA,NA,NA
Allegan,21,51.1,8514,1287,15.1,1239,40,NA,NA,8,0.6,48,3.7
Alpena,23.5,71.6,1700,258,15.2,256,NA,0,0,0,0,NA,NA
Antrim,17.1,52.6,1305,265,20.3,261,NA,0,0,0,0,NA,NA
Arenac,16.9,58.2,799,209,26.2,207,NA,NA,0,NA,NA,NA,NA
Baraga,30.9,71.7,483,155,32.1,154,0,NA,0,NA,NA,NA,NA
Barry,24.5,57.3,4017,456,11.4,439,NA,NA,NA,NA,NA,17,3.7
Bay,32.1,75.6,7065,1401,19.8,1340,43,NA,NA,18,1.3,61,4.4
Benzie,17.1,46.3,922,264,28.6,262,NA,NA,0,NA,NA,NA,NA
Berrien,26.5,72.2,11491,1697,14.8,1632,33,NA,NA,32,1.9,65,3.8
Branch,27.8,65.3,3306,563,17,551,NA,NA,NA,NA,NA,12,2.1
Calhoun,32.6,75.3,10075,1918,19,1830,25,54,9,63,3.3,88,4.6
Cass,20.3,59.9,3318,438,13.2,424,NA,NA,0,NA,NA,14,3.2
Charlevoix,19.8,54.4,1615,265,16.4,263,NA,NA,0,NA,NA,NA,NA
Cheboygan,23,53.5,1335,216,16.2,215,0,NA,0,NA,NA,NA,NA
Chippewa,22,58.6,2565,373,14.5,367,NA,NA,NA,NA,NA,6,1.6
Clare,12,58.8,1984,386,19.5,385,0,NA,0,NA,NA,NA,NA
Clinton,22.1,52.8,4835,644,13.3,634,NA,NA,NA,NA,NA,10,1.6
Crawford,10.5,55.6,629,93,14.8,92,0,NA,0,NA,NA,NA,NA
Delta,32.4,68,2242,401,17.9,382,12,7,0,7,1.7,19,4.7
Dickinson,36.4,71.7,1520,211,13.9,211,0,0,0,0,0,0,0
Eaton,20.1,56.4,7374,995,13.5,964,16,15,0,15,1.5,31,3.1
Emmet,22.8,48.3,1969,320,16.3,320,0,0,0,0,0,0,0
Genesee,19.9,68,30963,6983,22.6,6823,77,74,9,83,1.2,160,2.3
Gladwin,12,49.5,1540,303,19.7,301,NA,NA,0,NA,NA,NA,NA
Gogebic,46.4,76.7,781,174,22.3,166,NA,NA,0,NA,NA,8,4.6
Grand Traverse,14.8,43.5,6117,1422,23.2,1393,20,9,0,9,0.6,29,2
Gratiot,36.5,69.8,2652,464,17.5,461,NA,0,0,0,0,NA,NA
Hillsdale,34.5,63.2,3153,791,25.1,768,16,NA,NA,7,0.9,23,2.9
Houghton,50.5,75.5,2418,592,24.5,577,NA,NA,NA,NA,NA,15,2.5
Huron,28.9,68.9,1840,338,18.4,333,NA,0,NA,NA,NA,NA,NA
Ingham,23.9,68.2,19732,4741,24,4616,61,NA,NA,64,1.3,125,2.6
Ionia,33.2,63,4806,830,17.3,801,18,NA,NA,11,1.3,29,3.5
Iosco,17.7,65.6,1232,253,20.5,243,NA,NA,NA,NA,NA,10,4
Iron,43.3,72.1,603,108,17.9,107,NA,0,0,0,0,NA,NA
Isabella,16.1,48.2,4123,623,15.1,616,NA,NA,0,NA,NA,7,1.1
Jackson,30.2,67.9,11225,2941,26.2,2790,103,NA,NA,48,1.6,151,5.1
Kalamazoo,22,62.6,18545,3383,18.2,3268,80,NA,NA,35,1,115,3.4
Kalkaska,11.2,49.3,1136,183,16.1,182,0,NA,0,NA,NA,NA,NA
Kent,23.1,59.2,53229,9780,18.4,9170,460,131,19,150,1.5,610,6.2
Keweenaw,44.5,77.6,108,23,21.3,23,0,0,0,0,0,0,0
Lake,11.3,52.6,555,115,20.7,114,NA,0,0,0,0,NA,NA
Lapeer,19.6,52.9,5481,847,15.5,825,NA,0,NA,NA,NA,22,2.6
Leelanau,16,46.5,1043,237,22.7,230,NA,NA,0,NA,NA,7,3
Lenawee,30.9,67.2,6641,1044,15.7,940,79,NA,NA,25,2.4,104,10
Livingston,11.4,39,11768,1048,8.9,1039,NA,NA,0,NA,NA,9,0.9
Luce,24.8,64.3,368,84,22.8,84,0,0,0,0,0,0,0
Mackinac,23.6,58.6,534,127,23.8,126,0,NA,0,NA,NA,NA,NA
Macomb,9.1,59.1,56493,10430,18.5,10316,80,NA,NA,34,0.3,114,1.1
Manistee,27.4,63.9,1308,287,21.9,280,NA,0,NA,NA,NA,7,2.4
Marquette,29,69.4,4159,435,10.5,423,NA,NA,0,NA,NA,12,2.8
Mason,27.4,64.6,1915,447,23.3,418,NA,NA,0,NA,NA,29,6.5
Mecosta,17.6,53.4,2519,278,11,276,NA,0,0,0,0,NA,NA
Menominee,31.1,73.2,1383,254,18.4,241,NA,NA,NA,NA,NA,13,5.1
Midland,14.2,58.7,5411,493,9.1,486,NA,NA,0,NA,NA,7,1.4
Missaukee,17.4,56.2,1082,119,11,117,NA,NA,0,NA,NA,NA,NA
Monroe,21.9,59,10703,1433,13.4,1416,11,NA,NA,6,0.4,17,1.2
Montcalm,25,57.7,4315,856,19.8,841,NA,NA,0,NA,NA,15,1.8
Montmorency,13.5,58.6,398,66,16.6,66,0,0,0,0,0,0,0
Muskegon,26.7,66.2,13332,2625,19.7,2513,56,46,10,56,2.1,112,4.3
Newaygo,17.9,53.6,3449,438,12.7,432,NA,NA,0,NA,NA,6,1.4
Oakland,14.1,60.5,82220,14806,18,14602,94,100,10,110,0.7,204,1.4
Oceana,23.9,57.8,2048,458,22.4,444,NA,NA,NA,6,1.3,14,3.1
Ogemaw,15.5,61.6,1329,176,13.2,176,0,0,0,0,0,0,0
Ontonagon,39.2,73.2,209,40,19.1,39,0,NA,0,NA,NA,NA,NA
Osceola,18.7,56.6,1698,271,16,268,NA,0,0,0,0,NA,NA
Oscoda,13,62.1,473,94,19.9,94,0,0,0,0,0,0,0
Otsego,11.2,50.3,1644,271,16.5,271,0,0,0,0,0,0,0
Ottawa,14.8,45.3,20885,2815,13.5,2761,44,10,0,10,0.4,54,1.9
Presque Isle,22,66.3,622,91,14.6,90,NA,0,0,0,0,NA,NA
Roscommon,9.8,58.7,1080,190,17.6,189,NA,0,0,0,0,NA,NA
Saginaw,26.3,73.1,13953,3332,23.9,3227,85,NA,NA,20,0.6,105,3.2
Saint Clair,25.6,59.4,10573,2752,26,2633,106,NA,NA,13,0.5,119,4.3
Saint Joseph,24.2,65.1,4972,908,18.3,872,NA,NA,0,NA,NA,36,4
Sanilac,30.5,64.6,2726,373,13.7,360,NA,NA,0,NA,NA,13,3.5
Schoolcraft,26.8,63.3,494,89,18,88,NA,0,0,0,0,NA,NA
Shiawassee,30.4,68.2,4608,1324,28.7,1266,49,9,0,9,0.7,58,4.4
Tuscola,30,67.4,3415,791,23.2,785,NA,NA,0,NA,NA,6,0.8
Van Buren,22.7,58.1,5611,783,14,753,19,11,0,11,1.4,30,3.8
Washtenaw,16.8,56.5,22439,2903,12.9,2858,19,NA,NA,26,0.9,45,1.6
Wayne (excluding Detroit),21.7,74.5,81870,17998,22,17691,110,183,14,197,1.1,307,1.7
Wexford,21.4,53.7,2552,317,12.4,312,NA,NA,0,NA,NA,NA,NA
City of Detroit,57.9,93.2,58660,21548,36.7,19928,296,1187,137,1324,6.1,1620,7.5
MICHIGAN,23.4,64.8,701063,140857,20.1,136066,2296,2233,262,2495,1.8,4791,3.4
