County,children_under_age6,all_less5_total,capillary_greater5_total,venuous_5to14_total,venuous_greater15_total,venuous_greater5_total,venuous_greater5_percent,all_greater5_total,all_greater5_percent
Allegan,885,850,NA,NA,NA,NA,NA,35,4
Alpena,226,225,NA,0,0,0,0,NA,NA
Antrim,207,204,NA,0,0,0,0,NA,NA
Arenac,171,169,NA,NA,0,NA,NA,NA,NA
Baraga,119,118,0,NA,0,NA,NA,NA,NA
Barry,356,342,NA,NA,NA,NA,NA,14,3.9
Bay,1034,977,39,NA,NA,18,1.7,57,5.5
Benzie,168,166,NA,NA,0,NA,NA,NA,NA
Berrien,1480,1422,30,NA,NA,28,1.9,58,3.9
Branch,513,501,NA,NA,NA,NA,NA,12,2.3
Calhoun,1329,1257,18,45,9,54,4.1,72,5.4
Cass,365,353,NA,NA,0,NA,NA,12,3.3
Charlevoix,252,250,NA,NA,0,NA,NA,NA,NA
Cheboygan,194,193,0,NA,0,NA,NA,NA,NA
Chippewa,267,262,NA,NA,NA,NA,NA,NA,NA
Clare,342,341,0,NA,0,NA,NA,NA,NA
Clinton,462,454,NA,0,NA,NA,NA,8,1.7
Crawford,85,84,0,NA,0,NA,NA,NA,NA
Delta,373,354,12,7,0,7,1.9,19,5.1
Dickinson,155,155,0,0,0,0,0,0,0
Eaton,768,742,13,13,0,13,1.7,26,3.4
Emmet,284,284,0,0,0,0,0,0,0
Genesee,5372,5229,66,68,9,77,1.4,143,2.7
Gladwin,264,262,NA,NA,0,NA,NA,NA,NA
Gogebic,147,140,NA,NA,0,NA,NA,7,4.8
Grand Traverse,684,668,9,7,0,7,1,16,2.3
Gratiot,402,399,NA,0,0,0,0,NA,NA
Hillsdale,607,591,NA,NA,0,NA,NA,16,2.6
Houghton,368,354,NA,NA,NA,NA,NA,14,3.8
Huron,264,259,NA,0,NA,NA,NA,NA,NA
Ingham,3802,3699,50,NA,NA,53,1.4,103,2.7
Ionia,621,599,12,NA,NA,10,1.6,22,3.5
Iosco,241,231,NA,NA,NA,NA,NA,10,4.1
Iron,98,97,NA,0,0,0,0,NA,NA
Isabella,409,405,NA,NA,0,NA,NA,NA,NA
Jackson,1983,1858,85,NA,NA,40,2,125,6.3
Kalamazoo,2453,2352,73,NA,NA,28,1.1,101,4.1
Kalkaska,130,129,0,NA,0,NA,NA,NA,NA
Kent,7185,6654,397,118,16,134,1.9,531,7.4
Keweenaw,17,17,0,0,0,0,0,0,0
Lake,99,98,NA,0,0,0,0,NA,NA
Lapeer,619,602,NA,0,NA,NA,NA,17,2.7
Leelanau,132,126,NA,NA,0,NA,NA,6,4.5
Lenawee,678,594,62,NA,NA,22,3.2,84,12.4
Livingston,662,657,NA,NA,0,NA,NA,NA,NA
Luce,66,66,0,0,0,0,0,0,0
Mackinac,98,97,0,NA,0,NA,NA,NA,NA
Macomb,6601,6526,53,NA,NA,22,0.3,75,1.1
Manistee,201,195,NA,0,NA,NA,NA,6,3
Marquette,358,349,NA,NA,0,NA,NA,9,2.5
Mason,298,274,NA,NA,0,NA,NA,24,8.1
Mecosta,234,232,NA,0,0,0,0,NA,NA
Menominee,175,166,NA,NA,NA,NA,NA,9,5.1
Midland,312,305,NA,NA,0,NA,NA,7,2.2
Missaukee,112,111,0,NA,0,NA,NA,NA,NA
Monroe,807,795,NA,NA,NA,NA,NA,12,1.5
Montcalm,764,750,NA,NA,0,NA,NA,14,1.8
Montmorency,61,61,0,0,0,0,0,0,0
Muskegon,1937,1835,48,45,9,54,2.8,102,5.3
Newaygo,351,346,NA,NA,0,NA,NA,NA,NA
Oakland,6971,6862,49,NA,NA,60,0.9,109,1.6
Oceana,374,365,NA,NA,0,NA,NA,9,2.4
Ogemaw,151,151,0,0,0,0,0,0,0
Ontonagon,28,27,0,NA,0,NA,NA,NA,NA
Osceola,243,240,NA,0,0,0,0,NA,NA
Oscoda,86,86,0,0,0,0,0,0,0
Otsego,248,248,0,0,0,0,0,0,0
Ottawa,1492,1455,30,7,0,7,0.5,37,2.5
Presque Isle,83,82,NA,0,0,0,0,NA,NA
Roscommon,177,176,NA,0,0,0,0,NA,NA
Saginaw,2462,2375,69,NA,NA,18,0.7,87,3.5
Saint Clair,2278,2174,93,NA,NA,11,0.5,104,4.6
Saint Joseph,745,716,NA,NA,0,NA,NA,29,3.9
Sanilac,324,312,NA,NA,0,NA,NA,12,3.7
Schoolcraft,72,72,0,0,0,0,0,0,0
Shiawassee,923,875,42,6,0,6,0.7,48,5.2
Tuscola,606,600,NA,NA,0,NA,NA,6,1
Van Buren,587,558,19,10,0,10,1.7,29,4.9
Washtenaw,1635,1609,11,NA,NA,15,0.9,26,1.6
Wayne,30764,29072,347,1208,137,1345,4.4,1692,5.5
Wexford,282,278,NA,NA,0,NA,NA,NA,NA
MICHIGAN,100279,96259,1880,1912,228,2140,2.1,4020,4
