,All Blood Samples†,Capillary† Samples,,Venous Samples,,,,,,
,> 5 μg/dL,> 5 μg/dL,> 5 μg/dL,5‐14 μg/dL,> 15 μg/dL,,,,,
Zip Code,Tested N %,N %,N %,N,N %,,,,,
48001,179 * *,* *,* *,*,0 ‐,,,,,
48002,29 * *,* *,0 ‐,0,0 ‐,,,,,
48003,64 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48004,2 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48005,42 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48006,38 * *,* *,0 ‐,0,0 ‐,,,,,
48009,355 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48014,58 * *,* *,0 ‐,0,0 ‐,,,,,
48015,127 * *,0 ‐,* *,*,0 ‐,,,,,
48017,142 * *,0 ‐,* *,*,0 ‐,,,,,
48019,1 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48021,680 12 1.8,7 1.0,* *,*,0 ‐,,,,,
48022,24 * *,* *,* *,*,0 ‐,,,,,
48023,64 * *,* *,* *,*,0 ‐,,,,,
48024,4 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48025,149 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48026,184 * *,* *,0 ‐,0,0 ‐,,,,,
48027,38 * *,* *,0 ‐,0,0 ‐,,,,,
48028,9 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48030,266 * *,* *,* *,*,0 ‐,,,,,
48031,2 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48032,48 * *,* *,0 ‐,0,0 ‐,,,,,
48033,330 * *,* *,* *,*,0 ‐,,,,,
48034,281 * *,* *,0 ‐,0,0 ‐,,,,,
48035,520 * *,0 ‐,* *,*,* *,,,,,
48036,345 * *,0 ‐,* *,*,0 ‐,,,,,
48037,10 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48038,493 * *,* *,* *,*,* *,,,,,
48039,100 * *,* *,0 ‐,0,0 ‐,,,,,
48040,132 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48041,57 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48042,305 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48043,228 8 3.5,* *,* *,*,0 ‐,,,,,
48044,624 * *,* *,0 ‐,0,0 ‐,,,,,
48045,247 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48046,4 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48047,509 6 1.2,* *,* *,*,* *,,,,,
48048,135 * *,* *,0 ‐,0,0 ‐,,,,,
48049,52 * *,* *,0 ‐,0,0 ‐,,,,,
48050,7 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48051,228 * *,* *,* *,*,0 ‐,,,,,
48054,64 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48057,1 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48059,229 * *,* *,0 ‐,0,0 ‐,,,,,
48060,"1,367 110 8.0",88 6.4,22 1.6,15,7 0.5,,,,,
48061,7 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48062,96 * *,* *,* *,*,0 ‐,,,,,
48063,45 * *,* *,* *,*,0 ‐,,,,,
48064,41 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48065,88 0 ‐,0 ‐,0 ‐,0,0 ‐,,,,,
48066,770,*,*,*,*,0,‐,0,0,‐
48067,346,*,*,*,*,0,‐,0,0,‐
48068,2,0,‐,0,‐,0,‐,0,0,‐
48069,40,0,‐,0,‐,0,‐,0,0,‐
48070,85,*,*,*,*,0,‐,0,0,‐
48071,445,*,*,*,*,0,‐,0,0,‐
48072,219,*,*,0,‐,*,*,*,0,‐
