Alcona,12.4,61.5,130,43,33.1,41,<6,<6,<6,<6,---,<6,---
Alger,29.5,64.1,130,76,58.5,74,<6,<6,<6,<6,---,<6,---
Allegan,23.2,51.1,"2,888",872,30.2,848,21,<6,<6,<6,---,24,2.8
Alpena,25.3,71.6,570,218,38.2,210,7,<6,<6,<6,---,8,3.7
Antrim,18.8,52.6,450,191,42.4,189,<6,<6,<6,<6,---,<6,---
Arenac,19.8,58.2,281,136,48.4,135,<6,<6,<6,<6,---,<6,---
Baraga,34,71.7,165,91,55.2,91,<6,<6,<6,<6,---,<6,---
Barry,27.1,57.3,"1,328",387,29.1,371,13,<6,<6,<6,---,16,4.1
Bay,33.9,75.6,"2,410","1,233",51.2,"1,195",26,11,<6,12,1,38,3.1
Benzie,18.6,46.3,338,178,52.7,176,<6,<6,<6,<6,---,<6,---
Berrien,28.6,72.2,"3,855","1,602",41.6,"1,554",27,17,<6,21,1.3,48,3
Branch,30.9,65.3,"1,157",239,20.7,232,6,<6,<6,<6,---,7,2.9
Calhoun,36.1,75.3,"3,366","1,317",39.1,"1,257",18,39,<6,42,3.2,60,4.6
Cass,22.4,59.9,"1,120",364,32.5,353,8,<6,<6,<6,---,11,3
Charlevoix,25.3,54.4,523,213,40.7,212,<6,<6,<6,<6,---,<6,---
Cheboygan,20.9,53.5,457,214,46.8,209,<6,<6,<6,<6,---,<6,---
Chippewa,25.1,58.6,775,268,34.6,265,<6,<6,<6,<6,---,<6,---
Clare,14.5,58.8,700,359,51.3,355,<6,<6,<6,<6,---,<6,---
Clinton,22.5,52.8,"1,650",342,20.7,338,<6,<6,<6,<6,---,<6,---
Crawford,13.7,55.6,237,67,28.3,66,<6,<6,<6,<6,---,<6,---
Delta,33.3,68,782,351,44.9,335,14,<6,<6,<6,---,16,4.6
Dickinson,38.9,71.7,529,288,54.4,287,<6,<6,<6,<6,---,<6,---
Eaton,20.4,56.4,"2,410",772,32,753,16,<6,<6,<6,---,19,2.5
Emmet,23,48.3,656,266,40.5,266,<6,<6,<6,<6,---,<6,---
Genesee,19.9,68,"10,583","4,326",40.9,"4,207",77,39,<6,42,1,119,2.8
Gladwin,12.4,49.5,486,193,39.7,193,<6,<6,<6,<6,---,<6,---
Gogebic,50,76.7,285,117,41.1,115,<6,<6,<6,<6,---,<6,---
Grand Traverse,14.7,43.5,"1,955",893,45.7,887,<6,<6,<6,<6,---,6,0.7
Gratiot,34.7,69.8,909,359,39.5,356,<6,<6,<6,<6,---,<6,---
Hillsdale,36.5,63.2,"1,079",395,36.6,384,8,<6,<6,<6,---,11,2.8
Houghton,53.4,75.5,828,505,61,493,<6,6,<6,8,1.6,12,2.4
Huron,31.8,68.9,607,229,37.7,220,8,<6,<6,<6,---,9,3.9
Ingham,24.9,68.2,"6,426","2,832",44.1,"2,749",61,20,<6,22,0.8,83,2.9
Ionia,35.8,63,"1,590",628,39.5,604,20,<6,<6,<6,---,24,3.8
Iosco,12.7,65.6,397,124,31.2,121,<6,<6,<6,<6,---,<6,---
Iron,44.1,72.1,193,120,62.2,118,<6,<6,<6,<6,---,<6,---
Isabella,16.3,48.2,"1,392",462,33.2,458,<6,<6,<6,<6,---,<6,---
Jackson,33,67.9,"3,716","2,021",54.4,"1,900",95,23,<6,26,1.3,121,6
Kalamazoo,22.5,62.6,"6,166","1,889",30.6,"1,838",30,19,<6,21,1.1,51,2.7
Kalkaska,13.2,49.3,395,138,34.9,137,<6,<6,<6,<6,---,<6,---
Kent,24.8,59.2,"17,514","8,193",46.8,"7,816",273,83,21,104,1.3,377,4.6
Keweenaw,46.9,77.6,39,21,53.8,19,<6,<6,<6,<6,---,<6,---
