Children Under 6 County,All Blood Samples,,,Capillary Samples,,Venous Samples,,,,
,Tested, > 5 ug/dL ,,>= 5ug/dL,,>= 5ug/dL,,5-14 ug/dL,> 15 ug/dL,
,,N,%,N,%,N,%,N,N,%
ALCONA,93,*,*,*,*,*,*,*,0,‐
ALGER,65,0,‐,0,‐,0,‐,0,0,‐
ALLEGAN,"1,583",40,2.5,24,1.5,16,1,*,*,*
ALPENA,348,6,1.7,*,*,*,*,*,*,*
ANTRIM,322,*,*,*,*,*,*,*,0,‐
ARENAC,265,*,*,*,*,*,*,*,0,‐
BARAGA,147,*,*,*,*,0,‐,0,0,‐
BARRY,466,16,3.4,7,1.5,9,1.9,*,*,*
BAY,"1,492",50,3.4,34,2.3,16,1.1,16,0,‐
BENZIE,282,7,2.5,*,*,*,*,*,0,‐
BERRIEN,"2,166",76,3.5,41,1.9,35,1.6,29,6,0.3
BRANCH,672,26,3.9,14,2.1,12,1.8,*,*,*
CALHOUN,"2,735",174,6.4,74,2.7,100,3.7,90,10,0.4
CASS,609,28,4.6,17,2.8,11,1.8,*,*,*
CHARLEVOIX,300,*,*,*,*,0,‐,0,0,‐
CHEBOYGAN,265,0,‐,0,‐,0,‐,0,0,‐
CHIPPEWA,348,8,2.3,*,*,*,*,*,0,‐
CLARE,391,8,2,*,*,*,*,*,0,‐
CLINTON,739,6,0.8,*,*,*,*,*,0,‐
CRAWFORD,145,*,*,*,*,0,‐,0,0,‐
DELTA,414,13,3.1,8,1.9,*,*,*,0,‐
DICKINSON,242,*,*,*,*,*,*,*,0,‐
EATON,"1,154",30,2.6,14,1.2,16,1.4,*,*,*
EMMET,332,*,*,*,*,*,*,*,0,‐
GENESEE,"11,703",210,1.8,64,0.5,146,1.2,126,20,0.2
GLADWIN,302,*,*,*,*,*,*,*,0,‐
GOGEBIC,192,7,3.6,*,*,*,*,*,*,*
GRAND TRAVERSE,"1,430",20,1.4,16,1.1,*,*,*,*,*
GRATIOT,513,11,2.1,9,1.8,*,*,*,0,‐
HILLSDALE,888,42,4.7,27,3,15,1.7,*,*,*
HOUGHTON,562,21,3.7,*,*,16,2.8,16,0,‐
HURON,409,*,*,*,*,*,*,*,0,‐
INGHAM,"4,712",123,2.6,52,1.1,71,1.5,63,8,0.2
IONIA,980,27,2.8,8,0.8,19,1.9,*,*,*
IOSCO,263,9,3.4,7,2.7,*,*,*,*,*
IRON,107,*,*,*,*,*,*,*,0,‐
ISABELLA,610,*,*,*,*,*,*,*,0,‐
JACKSON,"2,879",218,7.6,142,4.9,76,2.6,69,7,0.2
KALAMAZOO,"3,727",132,3.5,88,2.4,44,1.2,38,6,0.2
KALKASKA,241,8,3.3,*,*,*,*,*,0,‐
KENT,"9,984",617,6.2,412,4.1,205,2.1,176,29,0.3
KEWEENAW,33,0,‐,0,‐,0,‐,0,0,‐
LAKE,102,*,*,*,*,0,‐,0,0,‐
LAPEER,"1,014",32,3.2,26,2.6,6,0.6,*,*,*
LEELANAU,279,13,4.7,10,3.6,*,*,*,0,‐
LENAWEE,"1,164",71,6.1,26,2.2,45,3.9,38,7,0.6
LIVINGSTON,"1,030",11,1.1,6,0.6,*,*,*,*,*
LUCE,76,*,*,*,*,0,‐,0,0,‐
MACKINAC,107,*,*,*,*,0,‐,0,0,‐
MACOMB,"11,769",99,0.8,57,0.5,42,0.4,*,*,*
MANISTEE,334,17,5.1,12,3.6,*,*,*,0,‐
MARQUETTE,546,7,1.3,*,*,*,*,*,0,‐
MASON,511,19,3.7,17,3.3,*,*,*,0,‐
MECOSTA,381,8,2.1,*,*,*,*,*,*,*
MENOMINEE,254,8,3.1,*,*,*,*,*,*,*
MIDLAND,505,*,*,*,*,*,*,*,0,‐
MISSAUKEE,117,0,‐,0,‐,0,‐,0,0,‐
MONROE,"1,432",22,1.5,7,0.5,15,1,*,*,*
MONTCALM,833,15,1.8,9,1.1,6,0.7,*,*,*
MONTMORENCY,78,*,*,*,*,0,‐,0,0,‐
MUSKEGON,"2,612",157,6,89,3.4,68,2.6,60,8,0.3
NEWAYGO,477,12,2.5,7,1.5,*,*,*,0,‐
OAKLAND,"15,882",196,1.2,108,0.7,88,0.6,82,6,0
OCEANA,477,13,2.7,9,1.9,*,*,*,0,‐
OGEMAW,271,*,*,*,*,0,‐,0,0,‐
ONTONAGON,42,*,*,0,‐,*,*,*,0,‐
OSCEOLA,325,9,2.8,6,1.8,*,*,*,0,‐
OSCODA,109,*,*,*,*,0,‐,0,0,‐
OTSEGO,397,*,*,0,‐,*,*,*,0,‐
OTTAWA,"3,081",57,1.9,41,1.3,16,0.5,*,*,*
PRESQUE ISLE,97,*,*,*,*,0,‐,0,0,‐
ROSCOMMON,176,0,‐,0,‐,0,‐,0,0,‐
SAGINAW,"3,470",92,2.7,67,1.9,25,0.7,*,*,*
SAINT CLAIR,"2,941",152,5.2,123,4.2,29,1,22,7,0.2
SAINT JOSEPH,"1,052",67,6.4,53,5,14,1.3,8,6,0.6
SANILAC,356,10,2.8,8,2.2,*,*,*,0,‐
SCHOOLCRAFT,84,*,*,*,*,0,‐,0,0,‐
SHIAWASSEE,"1,451",49,3.4,30,2.1,19,1.3,*,*,*
TUSCOLA,902,17,1.9,8,0.9,9,1,9,0,‐
VAN BUREN,966,42,4.3,26,2.7,16,1.7,16,0,‐
WASHTENAW,"3,207",32,1,15,0.5,17,0.5,*,*,*
WAYNE,,,,,,,,,,
(excluding Detroit),"19,857",425,2.1,205,1,220,1.1,198,22,0.1
Detroit,"23,662","2,073",8.8,683,2.9,"1,390",5.9,"1,252",138,0.6
WEXFORD,356,7,2,*,*,*,*,*,*,*
MICHIGAN,"157,892","5,724",3.6,"2,792",1.8,"2,932",1.9,"2,614",318,0.2
